senator_full_name,asset,state,asset_cleaned
rick scott,"Account Receivable
from Nokomis Capital Partners, L.P.
Company: Nokomis Capital Partners, L.P.
(Dallas, TX) Filer comment: Income includes amount
due received during period",TX,"Account Receivable
 from Nokomis Capital Partners, L.P."
rick scott,"Valterra Products
Holdings, LLC
Company: Valterra Products Holdings,
LLC (Mission Hills,
CA) Description: Manufacturing and products
supplier",CA,"Valterra Products
 Holdings, LLC"
rick scott,"VCA TCG Holdings,
LLC
Company: VCA TCG Holdings, LLC
(Wilmington, DE) Description: Professional
engineering and consulting services",DE,"VCA TCG Holdings,
 LLC"
rick scott,"Account receivable
from Mosquito Control Services, LLC
Company: Mosquito Control Services, LLC
(Metairie, LA) Filer comment: Income includes amount
due received during period",LA,"Account receivable
 from Mosquito Control Services, LLC"
rick scott,"S&S Equity
Partners I LLC

Company: S&S Equity Partners I LLC
(Rowayton, CT) Description: Investment holding
company",CT,"S&S Equity
 Partners I LLC"
rick scott,"Promissory
Note
Company: L&S Family Entertainment
LLC (Hendersonville, TN)",TN,"Promissory
 Note"
rick scott,"S&S Sports,
LLC

Company: S&S Sports, LLC (Rowayton,
CT) Description: Investment holding
company",CT,"S&S Sports,
 LLC"
rick scott,"Promissory
Note
Company: L&S Family Entertainment
LLC (Hendersonville, TN)",TN,"Promissory
 Note"
rick scott,"Fulton Chain
Acquisition LLC

Company: Fulton Chain Acquisition LLC
(Rowayton, CT) Description: Investment holding
company",CT,"Fulton Chain
 Acquisition LLC"
rick scott,"AJ I Gainline
LLC

Company: AJ I Gainline LLC (New York,
NY) Description: Investment holding
company",NY,"AJ I Gainline
 LLC"
rick scott,"RLSI-CSP Capital
Partners, LLC

Company: RLSI-CSP Capital Partners, LLC
(Rowayton, CT) Description: Investment holding
company",CT,"RLSI-CSP Capital
 Partners, LLC"
rick scott,"Pharmaca
Investments, LLC

Company: Pharmaca Investments, LLC
(Rowayton, CT) Description: Investment holding
company",CT,"Pharmaca
 Investments, LLC"
rick scott,"RLSI-EMIDA Capital
Partners, LLC

Company: RLSI-EMIDA Capital Partners,
LLC (Rowayton, CT) Description: Investment
holding company",CT,"RLSI-EMIDA Capital
 Partners, LLC"
rick scott,"Columbia Collier
Management, LLC

Company: Columbia Collier Management,
LLC (Naples, FL) Description: Company set up for
purpose of ownership of airplane Filer comment:
Ownership interest of company holding one airplane",FL,"Columbia Collier
 Management, LLC"
rick scott,"Account Receivable
from Legion Partners Special Opportunities, L.P. XII
Company: Legion Partners Special
Opportunities, L.P. XII (Los Angeles, California)",CA,"Account Receivable
 from Legion Partners Special Opportunities, L.P. XII"
rick scott,"Account Receivable
from Moab Partners, L.P.
Company: Moab Partners, L.P. (New York,
NY)",NY,"Account Receivable
 from Moab Partners, L.P."
rick scott,"Account Receivable
from Nokomis Capital Partners, L.P.
Company: Nokomis Capital Partners, L.P.
(Dallas, TX)",TX,"Account Receivable
 from Nokomis Capital Partners, L.P."
rick scott,"Account Receivable
from Rimrock High Income Plus (QP) Fund, L.P.
Company: Rimrock High Income Plus (QP)
Fund, L.P. (Irvine, California)",CA,"Account Receivable
 from Rimrock High Income Plus (QP) Fund, L.P."
rick scott,"AJ I Gainline
LLC

Company: AJ I Gainline LLC (New York,
NY) Description: Investment holding
company",NY,"AJ I Gainline
 LLC"
rick scott,"RLSI-CSP Capital
Partners, LLC

Company: RLSI-CSP Capital Partners, LLC
(Rowayton, CT) Description: Investment holding
company",CT,"RLSI-CSP Capital
 Partners, LLC"
rick scott,"Account Receivable
from AG Super Fund, L.P.
Company: AG Super Fund, L.P. (New York,
NY)",NY,"Account Receivable
 from AG Super Fund, L.P."
rick scott,"AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company",NY,AJ 3 LLC
rick scott,"Account Receivable
from Legion Partners Special Opportunities, L.P. XII
Company: Legion Partners Special
Opportunities, L.P. XII (Los Angeles, California)",CA,"Account Receivable
 from Legion Partners Special Opportunities, L.P. XII"
rick scott,"Account Receivable
from Moab Partners, L.P.
Company: Moab Partners, L.P. (New York,
NY)",NY,"Account Receivable
 from Moab Partners, L.P."
rick scott,"Account Receivable
from Nokomis Capital Partners, L.P.
Company: Nokomis Capital Partners, L.P.
(Dallas, TX)",TX,"Account Receivable
 from Nokomis Capital Partners, L.P."
rick scott,"Account Receivable
from Rimrock High Income Plus (QP) Fund, L.P.
Company: Rimrock High Income Plus (QP)
Fund, L.P. (Irvine, California)",CA,"Account Receivable
 from Rimrock High Income Plus (QP) Fund, L.P."
rick scott,"AJ I Gainline
LLC

Company: AJ I Gainline LLC (New York,
NY) Description: Investment holding
company",NY,"AJ I Gainline
 LLC"
rick scott,"Account Receivable
from AG Super Fund, L.P.
Company: AG Super Fund, L.P. (New York,
NY)",NY,"Account Receivable
 from AG Super Fund, L.P."
rick scott,"AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company",NY,AJ 3 LLC
rick scott,"Account Receivable
from Legion Partners Special Opportunities, L.P. XII
Company: Legion Partners Special
Opportunities, L.P. XII (Los Angeles, California)",CA,"Account Receivable
 from Legion Partners Special Opportunities, L.P. XII"
rick scott,"Account Receivable
from Moab Partners, L.P.
Company: Moab Partners, L.P. (New York,
NY)",NY,"Account Receivable
 from Moab Partners, L.P."
rick scott,"Account Receivable
from Nokomis Capital Partners, L.P.
Company: Nokomis Capital Partners, L.P.
(Dallas, TX)",TX,"Account Receivable
 from Nokomis Capital Partners, L.P."
rick scott,"Account Receivable
from Rimrock High Income Plus (QP) Fund, L.P.
Company: Rimrock High Income Plus (QP)
Fund, L.P. (Irvine, California)",CA,"Account Receivable
 from Rimrock High Income Plus (QP) Fund, L.P."
rick scott,"Loan to Cathy
Gellatly
Debtor: Cathy Gellatly",,"Loan to Cathy
 Gellatly"
rick scott,"Account Receivable
from Pharmaca Investments, LLC
Company: Pharmaca Investments, LLC
(Rowayton, CT)",CT,"Pharmaca Investments, LLC"
rick scott,"Redemption from AG
Super Fund, L.P.
Company: AG Super Fund, L.P. (New York,
NY)",NY,"Redemption from AG
 Super Fund, L.P."
rick scott,"Valterra Products
Holdings, LLC
Company: Valterra Products Holdings,
LLC (Mission Hills,
CA) Description: Manufacturing and products
supplier",CA,"Valterra Products
 Holdings, LLC"
rick scott,"VCA TCG Holdings,
LLC
Company: VCA TCG Holdings, LLC
(Wilmington, DE) Description: Professional
engineering and consulting services",DE,"VCA TCG Holdings,
 LLC"
rick scott,"Account receivable
from Mosquito Control Services, LLC
Company: Mosquito Control Services, LLC
(Metairie, LA) Filer comment: Income includes amount
due received during period",LA,"Mosquito Control Services, LLC"
rick scott,"DC Westlight
LLC

Company: DC Westlight LLC (Washington,
DC) Description: LLC to hold residential real
property",DC,"DC Westlight
 LLC"
rick scott,"S&S Equity
Partners I LLC

Company: S&S Equity Partners I LLC
(Rowayton, CT) Description: Investment holding
company",CT,"S&S Equity
 Partners I LLC"
rick scott,"Promissory
Note
Company: L&S Family Entertainment
LLC (Hendersonville, TN)",TN,"L&S Family Entertainment
 LLC"
rick scott,"S&S Sports,
LLC

Company: S&S Sports, LLC (Rowayton,
CT) Description: Investment holding
company",CT,"S&S Sports,
 LLC"
rick scott,"Promissory
Note
Company: L&S Family Entertainment
LLC (Hendersonville, TN)",TN,"L&S Family Entertainment
 LLC"
rick scott,"Fulton Chain
Acquisition LLC

Company: Fulton Chain Acquisition LLC
(Rowayton, CT) Description: Investment holding
company",CT,"Fulton Chain
 Acquisition LLC"
rick scott,"AJ I Gainline
LLC

Company: AJ I Gainline LLC (New York,
NY) Description: Investment holding
company",NY,"AJ I Gainline
 LLC"
rick scott,"Pharmaca
Investments, LLC

Company: Pharmaca Investments, LLC
(Rowayton, CT) Description: Investment holding
company",CT,"Pharmaca
 Investments, LLC"
rick scott,"RLSI-EMIDA Capital
Partners, LLC

Company: RLSI-EMIDA Capital Partners,
LLC (Rowayton, CT) Description: Investment
holding company",CT,"RLSI-EMIDA Capital
 Partners, LLC"
rick scott,"Account Receivable
from RLSI-EMIDA Capital Partners, LLC
Company: RLSI-EMIDA Capital Partners,
LLC (Rowayton, CT)",CT,"RLSI-EMIDA Capital Partners, LLC"
rick scott,"Account Receivable
from Legion Partners Special Opportunities, L.P. XII
Company: Legion Partners Special
Opportunities, L.P. XII (Los Angeles, California)",CA,"Legion Partners Special
 Opportunities, L.P. XII"
rick scott,"Account Receivable
from Moab Partners, L.P.
Company: Moab Partners, L.P. (New York,
NY)",NY,"Moab Partners, L.P."
rick scott,"Account Receivable
from Nokomis Capital Partners, L.P.
Company: Nokomis Capital Partners, L.P.
(Dallas, TX)",TX,"Nokomis Capital Partners, L.P."
rick scott,"Account Receivable
from AJ 2 Elliott LLC
Company: AJ 2 Elliott LLC (New York,
NY)",NY,AJ 2 Elliott LLC
rick scott,"Richard L. And F.
Annette Scott Family Partnership, Ltd.

Company: Richard L. And F. Annette
Scott Family Partnership, Ltd. (Naples,
FL) Description: Investment Limited
Partnership",FL,"Richard L. And F.
 Annette Scott Family Partnership, Ltd."
rick scott,"Account Receivable
from AG Super Fund, L.P.
Company: AG Super Fund, L.P. (New York,
NY)",NY,"AG Super Fund, L.P."
rick scott,"Valterra Products
Holdings, LLC
Company: Valterra Products Holdings,
LLC (Mission Hills,
CA) Description: Manufacturing and products
supplier",CA,"Valterra Products
 Holdings, LLC"
rick scott,"VCA TCG Holdings,
LLC
Company: VCA TCG Holdings, LLC
(Wilmington, DE) Description: Professional
engineering and consulting services",DE,"VCA TCG Holdings,
 LLC"
rick scott,"Account receivable
from Mosquito Control Services, LLC
Company: Mosquito Control Services, LLC
(Metairie, LA)",LA,"Mosquito Control Services, LLC"
rick scott,"S&S Equity
Partners I LLC

Company: S&S Equity Partners I LLC
(Rowayton, CT) Description: Investment holding
company",CT,"S&S Equity
 Partners I LLC"
rick scott,"Promissory
Note
Company: L&S Family Entertainment
LLC (Hendersonville, TN)",TN,"L&S Family Entertainment
 LLC"
rick scott,"S&S Sports,
LLC

Company: S&S Sports, LLC (Rowayton,
CT) Description: Investment holding
company",CT,"S&S Sports,
 LLC"
rick scott,"Promissory
Note
Company: L&S Family Entertainment
LLC (Hendersonville, TN)",TN,"L&S Family Entertainment
 LLC"
rick scott,"RLSI-CSP Capital
Partners, LLC

Company: RLSI-CSP Capital Partners, LLC
(Rowayton, CT) Description: Investment holding
company",CT,"RLSI-CSP Capital
 Partners, LLC"
rick scott,"Pharmaca
Investments, LLC

Company: Pharmaca Investments, LLC
(Rowayton, CT) Description: Investment holding
company",CT,"Pharmaca
 Investments, LLC"
rick scott,"RLSI-EMIDA Capital
Partners, LLC

Company: RLSI-EMIDA Capital Partners,
LLC (Rowayton, CT) Description: Investment
holding company",CT,"RLSI-EMIDA Capital
 Partners, LLC"
rick scott,"DC Westlight
LLC

Company: DC Westlight LLC (Washington,
DC) Description: LLC to hold residential real
property",DC,"DC Westlight
 LLC"
rick scott,"218 Maryland
LLC

Company: 218 Maryland LLC (Washington,
DC) Description: Holding company",DC,"218 Maryland
 LLC"
mazie k hirono,"Oshima &
Itomura, AAL, ALC

Description: Law Firm (Honolulu,
HI)",HI,"Oshima &
 Itomura, AAL, ALC"
mark e kelly,"Lightspeed
Partners LLC
Company: Lightspeed Partners LLC
(Tucson, AZ) Description: Media
Production",AZ,"Lightspeed
 Partners LLC"
mark e kelly,"Mal Pais
Entertainment LLC
Description: American Esports
organization (Newark, NJ) Filer comment: Asset
no longer held.",NJ,"Mal Pais
 Entertainment LLC"
"william f hagerty, iv","Tennessee
Community Ventures, LLC

Company: Tennessee Community Ventures,
LLC (Nashville, TN) Description: Early stage
investment company",TN,"Tennessee
 Community Ventures, LLC"
"william f hagerty, iv","MainStreet
Management

Company: MainStreet Management
(Nashville, TN) Description: Pass-through
account",TN,"MainStreet
 Management"
"william f hagerty, iv","Roundstone
Ventures, LLC

Company: Roundstone Ventures, LLC
(Nashville, TN) Description: 5% ownership
interest",TN,"Roundstone
 Ventures, LLC"
"william f hagerty, iv","Capital Partners
VI
Company: Goldman Sachs (New York,
NY) Description: Real Estate Fund",NY,"Capital Partners
 VI"
"william f hagerty, iv","Contour Venture
Partners, LP
Company: Contour Venture Partners
(Princeton, NJ) Description: Early stage venture
capital equity investments",NJ,"Contour Venture
 Partners, LP"
"william f hagerty, iv","Contour Venture
Partners II, LP
Company: Contour Venture Partners
(Princeton, NJ) Description: Early stage venture
capital equity investments",NJ,"Contour Venture
 Partners II, LP"
"william f hagerty, iv","Contour Venture
Partners III, LP
Company: Contour Venture Partners
(Princeton, NJ) Description: Early stage venture
capital equity investments",NJ,"Contour Venture
 Partners III, LP"
"william f hagerty, iv","Contour Venture
Partners IV, LP
Company: Contour Venture Partners
(Princeton, NJ) Description: Early stage venture
capital equity investments",NJ,"Contour Venture
 Partners IV, LP"
"william f hagerty, iv","Contour
Opportunity Fund
Company: Contour Venture Partners
(Princeton, NJ) Description: Early stage venture
capital equity investments",NJ,Contour Venture Partners
"william f hagerty, iv","Contour
Opportunity Fund II, LP
Company: Contour Venture Partners
(Princeton, NJ) Description: Early stage venture
capital equity investments",NJ,Contour Venture Partners
"william f hagerty, iv","Silverpeak Legacy
Fund, II LP
Company: Silverpeak (New York,
NY) Description: An alternative investment
management firm with expertise in real estate, energy, real assets,
and credit",NY,"Silverpeak Legacy
 Fund, II LP"
"william f hagerty, iv","Silverpeak Legacy
Fund, III LP
Company: Silverpeak (New York,
NY) Description: An alternative investment
management firm with expertise in real estate, energy, real assets,
and credit",NY,"Silverpeak Legacy
 Fund, III LP"
"william f hagerty, iv","Liquidity Partners
III/Mezzanine Partners V Access LP
Company: Goldman Sachs (New York,
NY) Description: Mid stage venture capital
equity investments",NY,"Liquidity Partners
 III/Mezzanine Partners V Access LP"
"william f hagerty, iv","Distressed
Managers IV, LP
Company: Goldman Sachs (New York,
NY) Description: Venture Equity Capital
investments",NY,"Distressed
 Managers IV, LP"
"william f hagerty, iv","Eakin Partners,
LLC

Company: Eakin Partners, LLC
(Nashville, Tennessee) Description: Local real
estate investments in Nashville, TN market",TN,"Eakin Partners,
 LLC"
brian e schatz,"Schatz
Collaborative LLC
Company: Schatz Collaborative LLC
(Honolulu, HI) Description: Community based real
estate development consulting services",HI,"Schatz
 Collaborative LLC"
mark r warner,"Murray Bonitt
Receivable
Debtor: Murray Bonitt",,"Murray Bonitt
 Receivable"
mark r warner,"Alexandria NBIS
Investors, LLC

Company: Alexandria NBIS Investors, LLC
(Alexandria, VA) Description: Investment
Company",VA,"Alexandria NBIS
 Investors, LLC"
mark r warner,"MRW Biotech
Investors, LLC

Company: MRW Biotech Investors, LLC
(Alexandria, VA) Description: Investment
Company",VA,"MRW Biotech
 Investors, LLC"
mark r warner,"TZG-Sachs Empire
LLC

Company: TZG-Sachs Empire LLC
(Rockville, MD) Description: Investment
Fund",MD,"TZG-Sachs Empire
 LLC"
mark r warner,"EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt",MD,EMSG LLC
mark r warner,"West Deptford
Energy Holdings, LLC
Company: West Deptford Energy Holdings,
LLC (New York, NY) Description: Energy
Company",NY,"West Deptford
 Energy Holdings, LLC"
mark r warner,"Wilton GSE
LLC
Company: Wilton GSE LLC (Wilton,
CT) Description: Real Estate",CT,"Wilton GSE
 LLC"
mark r warner,"MSR-EB Waterfront
Venture LLC (The Pointe at Stono Shores)
Company: MSR-EB Waterfront Venture LLC
(Charleston, SC) Description: Real
Estate",SC,"MSR-EB Waterfront
 Venture LLC"
mark r warner,"EB 480 Sprague,
LLC
Company: EB 480 Sprague, LLC (Dedham,
MA) Description: Real Estate",MA,"EB 480 Sprague,
 LLC"
mark r warner,"BetterCloud
Description: Cloud Storage
Company (New York, NY)",NY,BetterCloud
mark r warner,"Empire Petroleum
Partners LLC
Company: Empire Petroleum Partners LLC
(Gaithersburg, MD) Description: Energy
Company",MD,"Empire Petroleum
 Partners LLC"
mark r warner,"Airwest IX
Warehouse
Description: Real
Estate (Plainfield, IN)",IN,"Airwest IX
 Warehouse"
mark r warner,"Residence at North
Penn
Description: Real
Estate (Stamford, CT)",CT,"Residence at North
 Penn"
mark r warner,"Park Group,
Inc.
Description: Insurance
Company (Dallas, TX)",TX,"Park Group,
 Inc."
mark r warner,"Innovation Tech
Investors, Inc.
Description: Security Systems
Company (Earth City, MO) Filer comment: Formerly
known as Interface Security Holdings, Inc.",MO,"Innovation Tech
 Investors, Inc."
mark r warner,"Construction
Partners, Inc. (dba SunTx CPI Growth Company, Inc.)
Description: Construction
Company (Dothan, AL)",AL,"Construction
 Partners, Inc."
mark r warner,"Interface Security
Holdings, Inc.
Description: Security Systems
Company (Earth City, MO) Filer comment:
Transferred to SunTx Fulcrum Fund, L.P.",MO,"Interface Security
 Holdings, Inc."
mark r warner,"NationsBuilders
Insurance Services, Inc.
Description: Insurance
Company (Atlanta, GA)",GA,"NationsBuilders
 Insurance Services, Inc."
mark r warner,"Base4 Group,
Inc.
Description: Wholesale
Company (Dallas, TX)",TX,"Base4 Group,
 Inc."
mark r warner,"Interface Security
Holdings, Inc.
Description: Security Systems
Company (Earth City, MO) Filer comment:
Transferred to SunTx Fulcrum Fund, LP",MO,"Interface Security
 Holdings, Inc."
mark r warner,"Revival LOC,
LLC
Description: Line of Credit -
Manufacturer (Springfield, NJ)",NJ,"Revival LOC,
 LLC"
mark r warner,"BSCP SBIC I,
LP
Description: Private
Credit (Alexandria, VA)",VA,"BSCP SBIC I,
 LP"
mark r warner,"Vista Credit
Partners Fund III, LP
Description: Private
Credit (Oakland, CA)",CA,"Vista Credit
 Partners Fund III, LP"
mark r warner,"Apollo Credit
Fund, LP
Description: Private
Credit (Purchase, NY)",NY,"Apollo Credit
 Fund, LP"
mark r warner,"911 King Street
Associates LLC
Company: 911 King Street Associates LLC
(Alexandria, VA) Description: Management
Company",VA,"911 King Street
 Associates LLC"
mark r warner,"MRW Home,
LLC

Company: MRW Home, LLC (Alexandria,
VA) Description: Disregarded Entity",VA,"MRW Home,
 LLC"
mark r warner,"MRW Office,
LLC

Company: MRW Office, LLC (Alexandria,
VA) Description: Disregarded Entity",VA,"MRW Office,
 LLC"
roger w marshall,"Club West of Great
Bend LLC, 4% Interest
Company: Club West of Great Bend LLC
(Great Bend, KS) Description: Management of
swimming pool",KS,"Club West of Great
 Bend LLC"
roger w marshall,"Healthcare
Properties Fund 1, LLC, 2% Interest

Company: Healthcare Properties Fund 1,
LLC (Houston, TX) Description: Venture capital
in hospitals",TX,"Healthcare
 Properties Fund 1, LLC"
roger w marshall,"NCM Bioscience
Partners, LLC

Company: Investment in Open Prairie
Ventures II, LP (Leawood,
KS) Description: Venture capital
investments",KS,"NCM Bioscience
 Partners, LLC"
roger w marshall,"25% Interest,
LVMC, Inc.

Company: LVMC, Inc. (Great Bend,
KS) Description: Investment holding
entity",KS,"LVMC, Inc."
roger w marshall,"Note receivable
held by Farmers Bank & Trust, 25% Interest
Company: Farmers Bank & Trust
(Great Bend, KS)",KS,"Note receivable
 held by Farmers Bank & Trust"
roger w marshall,"iSelect Qualified
Purchaser Fund, LLC
Company: iSelect Qualified Purchaser
Fund, LLC (St. Louis, MO) Description: Funds
available for investment in iSelect",MO,"iSelect Qualified
 Purchaser Fund, LLC"
roger w marshall,"GBRH Properties
2009, LLC, 14% Interest
Company: GBRH Properties 2009, LLC, 14%
Interest (Great Bend, KS) Description: Building,
helicopter pad, intangible assets, cash",KS,"GBRH Properties
 2009, LLC"
roger w marshall,"Personal
Loan
Company: LVMC, Inc. (Great Bend,
KS)",KS,"LVMC, Inc."
patrick j toomey,"Personal Loan to
S. Toomey
Debtor: Steve Toomey",,"Personal Loan to
 S. Toomey"
patrick j toomey,"BPG Investment
Partnership IX, L.P. (Fund IX)
Company: Equus Capital Partners, Ltd.
(Newtown Square, PA) Description: Closed end
private equity real estate fund",PA,BPG Investment
patrick j toomey,"Equus Investment
Partnership X, L.P.
Company: Equus Capital Partners, Ltd.
(Newtown Square, PA) Description: Closed end
private equity real estate fund",PA,"Equus Investment
 Partnership X, L.P."
patrick j toomey,"Patriot Financial
Partners II
Company: Patriot Financial Partners,
L.P. (Philadelphia, PA) Description: A closed
private equity fund which invests in small banks",PA,"Patriot Financial Partners,
 L.P."
patrick j toomey,"Old Mill
Partners

Company: Old Mill Partners (Allentown,
PA) Description: Real estate limited
partnership. Filer comment: Through this partnership,
Sen. Toomey and his wife are sole owners of a home and a separate
plot of undeveloped land on Block Island, RI.",PA,"Old Mill
 Partners"
patrick j toomey,"Personal Loan to
Old Mill Partners
Company: Old Mill Partners (Allentown,
PA)",PA,Old Mill Partners
patrick j toomey,"Personal Loan #2
to Old Mill Partners
Company: Old Mill Partners (Allentown,
PA)",PA,Old Mill Partners
patrick j toomey,"SRI Capital Fund
I, L.P.

Company: SRI Capital (Philadelphia,
PA) Description: Venture capital fund that
invests in startup technology companies.",PA,"SRI Capital Fund
 I, L.P."
john n kennedy,"First Louisiana
Investment Properties LLC - JK has 1/3 interest

Company: First Louisiana Investment
Properties LLC (Madisonville,
Louisiana) Description: Investment
Company",LA,"First Louisiana
 Investment Properties LLC"
john n kennedy,"APK Minerals LLC -
JK has 1/3 interest

Company: APK Minerals LLC (Olympia,
Washington) Description: LLC",WA,APK Minerals LLC
john n kennedy,"RiverNorth
Institutional Partners, LP
Company: RiverNorth Institutional
Partners, LP (Chicago, IL) Description: Limited
Partnership Filer comment: This is a hedge fund that
meets the definition",IL,"RiverNorth
 Institutional Partners, LP"
john n kennedy,"Greenwave Property
LLC - 1/3 interest

Company: Greenwave Property LLC
(Madisonville,
Louisiana) Description: LLC Filer
comment: Real estate holding company; this represents gross
income (wife's share)",LA,Greenwave Property LLC
john n kennedy,"Tchoupitoulas
Property LLC - 1/2 interest

Company: Tchoupitoulas Property LLC
(Metairie, LA) Description: LLC Filer
comment: Real estate holding company; this represents gross
income (wife's share)",LA,"Tchoupitoulas
 Property LLC"
john n kennedy,"A.P. Kennedy
Family Securities LLC - JK has 1/3 interest

Company: A.P. Kennedy Family Securities
LLC (Madisonville,
LA) Description: LLC Filer
comment: Investment company/LLC",LA,"A.P. Kennedy
 Family Securities LLC"
maggie hassan,"Onadune,
LLC

Company: Onadune, LLC (Boston,
MA) Description: Shared ownership of rental
property in RI",MA,"Onadune,
 LLC"
maggie hassan,"Onadune,
LLC

Company: Onadune, LLC (Boston,
MA) Description: Shared ownership of rental
property in RI",MA,"Onadune,
 LLC"
rand paul,"Alchemy,
LLC

Company: Alchemy, LLC (Bowling Green,
KY) Description: real estate",KY,"Alchemy,
 LLC"
rand paul,"Carona
Limited

Company: Carona Limited (Lake Jackson,
TX) Description: Rental property.",TX,"Carona
 Limited"
rand paul,"CHANDLER REAL
ESTATE PARTNERS XV LP
Company: CHANDLER REAL ESTATE PARTNERS
XV LP (Newport News, VA) Description: Investment
in rental real estate",VA,"CHANDLER REAL
 ESTATE PARTNERS XV LP"
rand paul,"Chandler Real
Estate Partners XIV LP
Company: Chandler Real Estate Partners
XIV LP (Newport News,
VA) Description: Investment in rental real
estate",VA,"Chandler Real
 Estate Partners XIV LP"
rand paul,"Chandler Real
Estate Partners XIII LP
Company: Chandler Real Estate Partners
XIII LP (Newport News,
VA) Description: Investment in rental real
estate",VA,"Chandler Real
 Estate Partners XIII LP"
rand paul,"Chandler Real
Estate Partners XIX LP
Company: Chandler Real Estate Partners
XIX LP (Newport News,
VA) Description: Investment in rental real
estate",VA,"Chandler Real
 Estate Partners XIX LP"
