American Indian or Alaska Native,"55,378","$2,473,827,119 ",,
Asian,"162,151","$7,774,961,578 ",,
Black or African American,"825,959","$16,115,604,264 ",,
Eskimo & Aleut,14,"$375,666 ",,
Multi Group,22,"$571,645 ",,
Native Hawaiian or Other Pacific,,,,
,"7,886","$253,155,627 ",,
Islander,,,,
Puerto Rican,320,"$11,331,553 ",,
Unanswered,"4,712,859","$207,532,206,289 ",,
White,"917,340","$43,538,074,339 ",,
Ethnicity,Loans Approved,Net Dollars,,
Hispanic or Latino,"252,517","$9,013,651,378 ",,
Not Hispanic or Latino,"1,955,130","$83,675,290,951 ",,
Unknown/NotStated,"4,474,282","$185,011,165,750 ",,
